"Alberta Assisted Living and Social Services
Income Support Caseload",,,,,,,,,,,,,
Ref_Date,Geography,Measure Type,Measure, Value ,,,,,,,,,
05-Apr,Alberta,Total Caseload,Total Caseload," 27,969 ",,,,,,,,,
05-May,Alberta,Total Caseload,Total Caseload," 27,894 ",,,,,,,,,
05-Jun,Alberta,Total Caseload,Total Caseload," 27,720 ",,,,,,,,,
05-Jul,Alberta,Total Caseload,Total Caseload," 27,680 ",,,,,,,,,
05-Aug,Alberta,Total Caseload,Total Caseload," 27,702 ",,,,,,,,,
05-Sep,Alberta,Total Caseload,Total Caseload," 26,896 ",,,,,,,,,
05-Oct,Alberta,Total Caseload,Total Caseload," 25,899 ",,,,,,,,,
05-Nov,Alberta,Total Caseload,Total Caseload," 26,042 ",,,,,,,,,
05-Dec,Alberta,Total Caseload,Total Caseload," 26,145 ",,,,,,,,,
06-Jan,Alberta,Total Caseload,Total Caseload," 26,182 ",,,,,,,,,
06-Feb,Alberta,Total Caseload,Total Caseload," 25,065 ",,,,,,,,,
06-Mar,Alberta,Total Caseload,Total Caseload," 25,130 ",,,,,,,,,
06-Apr,Alberta,Total Caseload,Total Caseload," 24,535 ",,,,,,,,,
06-May,Alberta,Total Caseload,Total Caseload," 24,773 ",,,,,,,,,
06-Jun,Alberta,Total Caseload,Total Caseload," 24,674 ",,,,,,,,,
06-Jul,Alberta,Total Caseload,Total Caseload," 24,574 ",,,,,,,,,
06-Aug,Alberta,Total Caseload,Total Caseload," 25,095 ",,,,,,,,,
06-Sep,Alberta,Total Caseload,Total Caseload," 24,647 ",,,,,,,,,
06-Oct,Alberta,Total Caseload,Total Caseload," 24,205 ",,,,,,,,,
06-Nov,Alberta,Total Caseload,Total Caseload," 24,669 ",,,,,,,,,
06-Dec,Alberta,Total Caseload,Total Caseload," 24,818 ",,,,,,,,,
07-Jan,Alberta,Total Caseload,Total Caseload," 25,436 ",,,,,,,,,
07-Feb,Alberta,Total Caseload,Total Caseload," 25,141 ",,,,,,,,,
07-Mar,Alberta,Total Caseload,Total Caseload," 25,232 ",,,,,,,,,
07-Apr,Alberta,Total Caseload,Total Caseload," 24,886 ",,,,,,,,,
07-May,Alberta,Total Caseload,Total Caseload," 25,289 ",,,,,,,,,
07-Jun,Alberta,Total Caseload,Total Caseload," 25,305 ",,,,,,,,,
07-Jul,Alberta,Total Caseload,Total Caseload," 25,447 ",,,,,,,,,
07-Aug,Alberta,Total Caseload,Total Caseload," 25,772 ",,,,,,,,,
07-Sep,Alberta,Total Caseload,Total Caseload," 25,106 ",,,,,,,,,
07-Oct,Alberta,Total Caseload,Total Caseload," 25,091 ",,,,,,,,,
07-Nov,Alberta,Total Caseload,Total Caseload," 25,172 ",,,,,,,,,
07-Dec,Alberta,Total Caseload,Total Caseload," 25,099 ",,,,,,,,,
08-Jan,Alberta,Total Caseload,Total Caseload," 25,987 ",,,,,,,,,
08-Feb,Alberta,Total Caseload,Total Caseload," 26,165 ",,,,,,,,,
08-Mar,Alberta,Total Caseload,Total Caseload," 25,961 ",,,,,,,,,
08-Apr,Alberta,Total Caseload,Total Caseload," 26,354 ",,,,,,,,,
08-May,Alberta,Total Caseload,Total Caseload," 26,683 ",,,,,,,,,
08-Jun,Alberta,Total Caseload,Total Caseload," 26,627 ",,,,,,,,,
08-Jul,Alberta,Total Caseload,Total Caseload," 26,946 ",,,,,,,,,
08-Aug,Alberta,Total Caseload,Total Caseload," 27,030 ",,,,,,,,,
08-Sep,Alberta,Total Caseload,Total Caseload," 26,908 ",,,,,,,,,
08-Oct,Alberta,Total Caseload,Total Caseload," 26,796 ",,,,,,,,,
08-Nov,Alberta,Total Caseload,Total Caseload," 26,924 ",,,,,,,,,
08-Dec,Alberta,Total Caseload,Total Caseload," 28,223 ",,,,,,,,,
09-Jan,Alberta,Total Caseload,Total Caseload," 29,444 ",,,,,,,,,
